    0.912	    0.002	    0.129	   -1.764	    0.081	    0.077	    0.363	  -10.000
    0.910	    0.002	    0.172	   -0.132	    0.069	    0.043	    0.032	   -5.000
    0.910	    0.002	   -0.066	    0.172	    0.085	    0.044	    0.032	   -4.980
    0.909	    0.002	    0.085	   -0.098	    0.073	    0.044	    0.032	   -4.960
    0.911	    0.001	   -0.017	    0.080	    0.080	    0.046	    0.032	   -4.940
    0.910	    0.002	    0.022	    0.101	    0.082	    0.042	    0.031	   -4.920
    0.909	    0.001	    0.125	   -0.152	    0.070	    0.043	    0.031	   -4.900
    0.910	    0.002	   -0.091	    0.186	    0.085	    0.044	    0.031	   -4.880
    0.911	    0.001	    0.158	   -0.131	    0.073	    0.044	    0.032	   -4.860
    0.910	    0.002	   -0.087	    0.107	    0.081	    0.042	    0.030	   -4.840
    0.911	    0.002	   -0.044	   -0.040	    0.077	    0.045	    0.032	   -4.820
    0.911	    0.002	    0.146	   -0.122	    0.070	    0.044	    0.033	   -4.800
    0.911	    0.002	   -0.084	    0.186	    0.084	    0.045	    0.031	   -4.780
    0.912	    0.002	    0.145	   -0.124	    0.072	    0.043	    0.032	   -4.760
    0.911	    0.002	    0.009	    0.101	    0.081	    0.048	    0.034	   -4.740
    0.912	    0.002	   -0.053	    0.100	    0.081	    0.044	    0.033	   -4.720
    0.911	    0.002	    0.114	   -0.179	    0.069	    0.042	    0.030	   -4.700
    0.912	    0.002	   -0.087	    0.166	    0.085	    0.042	    0.029	   -4.680
    0.912	    0.002	    0.122	   -0.146	    0.069	    0.045	    0.033	   -4.660
    0.912	    0.002	   -0.071	    0.110	    0.082	    0.044	    0.031	   -4.640
    0.912	    0.001	    0.089	   -0.000	    0.075	    0.041	    0.030	   -4.620
    0.912	    0.002	    0.133	   -0.071	    0.072	    0.045	    0.032	   -4.600
    0.912	    0.002	   -0.105	    0.174	    0.085	    0.046	    0.032	   -4.580
    0.912	    0.002	    0.160	   -0.137	    0.071	    0.042	    0.030	   -4.560
    0.912	    0.002	   -0.058	    0.130	    0.086	    0.045	    0.033	   -4.540
    0.911	    0.002	    0.027	   -0.050	    0.076	    0.042	    0.031	   -4.520
    0.912	    0.002	    0.130	   -0.106	    0.071	    0.044	    0.031	   -4.500
    0.911	    0.002	   -0.079	    0.192	    0.085	    0.045	    0.031	   -4.480
    0.910	    0.002	    0.146	   -0.142	    0.070	    0.045	    0.032	   -4.460
    0.911	    0.002	   -0.063	    0.160	    0.079	    0.042	    0.031	   -4.440
    0.911	    0.001	    0.100	   -0.044	    0.074	    0.042	    0.031	   -4.420
    0.911	    0.002	    0.062	    0.019	    0.076	    0.045	    0.031	   -4.400
    0.911	    0.002	   -0.106	    0.160	    0.085	    0.045	    0.033	   -4.380
    0.910	    0.002	    0.113	   -0.179	    0.069	    0.043	    0.031	   -4.360
    0.909	    0.002	    0.139	    0.144	    0.080	    0.045	    0.031	   -4.340
    0.910	    0.002	   -0.094	    0.020	    0.083	    0.047	    0.034	   -4.320
    0.909	    0.002	   -0.056	    0.002	    0.079	    0.042	    0.031	   -4.300
    0.909	    0.002	    0.103	   -0.143	    0.073	    0.044	    0.031	   -4.280
    0.910	    0.002	   -0.125	    0.152	    0.087	    0.045	    0.031	   -4.260
    0.910	    0.002	    0.105	   -0.162	    0.067	    0.041	    0.031	   -4.240
    0.910	    0.002	   -0.050	    0.105	    0.086	    0.046	    0.031	   -4.220
    0.909	    0.002	    0.042	    0.001	    0.077	    0.042	    0.031	   -4.200
    0.909	    0.002	    0.102	   -0.090	    0.073	    0.043	    0.032	   -4.180
    0.909	    0.002	   -0.126	    0.158	    0.085	    0.044	    0.032	   -4.160
    0.909	    0.002	    0.088	   -0.161	    0.071	    0.040	    0.030	   -4.140
    0.908	    0.002	   -0.034	    0.095	    0.083	    0.047	    0.031	   -4.120
    0.909	    0.002	   -0.063	    0.072	    0.081	    0.045	    0.033	   -4.100
    0.909	    0.002	    0.135	   -0.150	    0.067	    0.041	    0.030	   -4.080
    0.909	    0.002	   -0.033	    0.150	    0.087	    0.046	    0.031	   -4.060
    0.910	    0.002	    0.064	   -0.048	    0.074	    0.042	    0.031	   -4.040
    0.910	    0.002	    0.147	   -0.093	    0.070	    0.044	    0.031	   -4.020
    0.910	    0.002	   -0.063	    0.174	    0.084	    0.046	    0.033	   -4.000
    0.909	    0.002	    0.065	   -0.085	    0.073	    0.043	    0.032	   -3.980
    0.910	    0.002	    0.054	    0.015	    0.075	    0.045	    0.032	   -3.960
    0.908	    0.002	    0.159	    0.109	    0.077	    0.042	    0.030	   -3.940
    0.909	    0.002	   -0.154	    0.054	    0.082	    0.044	    0.032	   -3.920
    0.909	    0.002	   -0.023	   -0.115	    0.074	    0.039	    0.029	   -3.900
    0.910	    0.002	    0.118	   -0.121	    0.071	    0.044	    0.031	   -3.880
    0.909	    0.002	   -0.117	    0.161	    0.083	    0.045	    0.032	   -3.860
    0.909	    0.001	    0.052	   -0.172	    0.072	    0.043	    0.032	   -3.840
    0.909	    0.002	   -0.072	    0.048	    0.082	    0.045	    0.032	   -3.820
    0.909	    0.002	   -0.119	    0.053	    0.079	    0.044	    0.032	   -3.800
    0.908	    0.002	    0.127	   -0.171	    0.068	    0.041	    0.030	   -3.780
    0.909	    0.002	   -0.099	    0.150	    0.085	    0.046	    0.033	   -3.760
    0.909	    0.002	    0.092	   -0.102	    0.073	    0.039	    0.031	   -3.740
    0.909	    0.002	   -0.035	    0.094	    0.080	    0.045	    0.031	   -3.720
    0.909	    0.002	   -0.051	    0.046	    0.080	    0.041	    0.030	   -3.700
    0.910	    0.002	    0.150	   -0.151	    0.072	    0.045	    0.032	   -3.680
    0.909	    0.002	   -0.073	    0.179	    0.086	    0.045	    0.031	   -3.660
    0.909	    0.002	   -0.004	   -0.114	    0.079	    0.042	    0.030	   -3.640
    0.909	    0.002	    0.149	   -0.079	    0.075	    0.044	    0.031	   -3.620
    0.909	    0.002	   -0.099	    0.182	    0.085	    0.045	    0.032	   -3.600
    0.908	    0.002	    0.103	   -0.120	    0.073	    0.041	    0.030	   -3.580
    0.909	    0.002	   -0.000	    0.097	    0.080	    0.045	    0.031	   -3.560
    0.909	    0.002	   -0.058	    0.077	    0.081	    0.044	    0.031	   -3.540
    0.910	    0.002	    0.145	   -0.153	    0.068	    0.042	    0.031	   -3.520
    0.909	    0.002	   -0.050	    0.174	    0.084	    0.040	    0.028	   -3.500
    0.910	    0.002	    0.091	   -0.074	    0.073	    0.044	    0.031	   -3.480
    0.909	    0.002	    0.029	    0.075	    0.077	    0.044	    0.032	   -3.460
    0.910	    0.002	   -0.117	    0.126	    0.082	    0.043	    0.031	   -3.440
    0.909	    0.002	    0.111	   -0.168	    0.069	    0.042	    0.030	   -3.420
    0.909	    0.002	   -0.059	    0.130	    0.083	    0.041	    0.028	   -3.400
    0.909	    0.002	    0.073	   -0.085	    0.072	    0.042	    0.031	   -3.380
    0.909	    0.002	    0.070	    0.016	    0.077	    0.042	    0.030	   -3.360
    0.909	    0.002	   -0.108	    0.163	    0.086	    0.043	    0.031	   -3.340
    0.909	    0.002	    0.094	   -0.179	    0.067	    0.044	    0.034	   -3.320
    0.911	    0.002	   -0.109	    0.125	    0.082	    0.045	    0.031	   -3.300
    0.911	    0.002	    0.061	   -0.128	    0.071	    0.041	    0.031	   -3.280
    0.911	    0.002	    0.014	    0.017	    0.076	    0.045	    0.033	   -3.260
    0.911	    0.002	   -0.113	    0.122	    0.081	    0.043	    0.031	   -3.240
    0.911	    0.002	    0.091	   -0.195	    0.070	    0.043	    0.031	   -3.220
    0.910	    0.002	   -0.111	    0.136	    0.085	    0.044	    0.031	   -3.200
    0.911	    0.002	   -0.033	   -0.138	    0.072	    0.043	    0.032	   -3.180
    0.911	    0.002	    0.140	   -0.116	    0.069	    0.042	    0.031	   -3.160
    0.911	    0.002	   -0.097	    0.159	    0.085	    0.045	    0.031	   -3.140
    0.913	    0.001	    0.061	   -0.143	    0.074	    0.044	    0.032	   -3.120
    0.912	    0.001	    0.009	    0.066	    0.076	    0.044	    0.030	   -3.100
    0.912	    0.002	   -0.049	    0.079	    0.084	    0.043	    0.031	   -3.080
    0.912	    0.002	    0.139	   -0.151	    0.071	    0.043	    0.031	   -3.060
    0.912	    0.002	   -0.113	    0.154	    0.083	    0.044	    0.031	   -3.040
    0.912	    0.002	    0.104	   -0.143	    0.072	    0.043	    0.031	   -3.020
    0.912	    0.002	   -0.086	    0.060	    0.081	    0.046	    0.032	   -3.000
    0.912	    0.002	    0.032	   -0.065	    0.076	    0.043	    0.031	   -2.980
    0.912	    0.002	    0.078	   -0.060	    0.071	    0.043	    0.031	   -2.960
    0.913	    0.002	   -0.130	    0.149	    0.088	    0.044	    0.031	   -2.940
    0.913	    0.002	    0.105	   -0.154	    0.070	    0.043	    0.032	   -2.920
    0.914	    0.002	   -0.038	    0.088	    0.078	    0.045	    0.031	   -2.900
    0.913	    0.002	    0.114	   -0.003	    0.075	    0.042	    0.031	   -2.880
    0.914	    0.002	   -0.141	    0.138	    0.084	    0.043	    0.031	   -2.860
    0.913	    0.002	    0.039	   -0.178	    0.068	    0.040	    0.031	   -2.840
    0.913	    0.002	    0.033	    0.034	    0.075	    0.044	    0.031	   -2.820
    0.914	    0.002	   -0.108	    0.102	    0.083	    0.042	    0.030	   -2.800
    0.914	    0.002	    0.092	   -0.196	    0.069	    0.043	    0.032	   -2.780
    0.914	    0.002	   -0.096	    0.140	    0.083	    0.041	    0.028	   -2.760
    0.915	    0.002	    0.067	   -0.112	    0.071	    0.043	    0.031	   -2.740
    0.916	    0.002	    0.056	    0.070	    0.078	    0.044	    0.030	   -2.720
    0.916	    0.002	   -0.137	    0.140	    0.084	    0.043	    0.030	   -2.700
    0.916	    0.002	    0.080	   -0.200	    0.069	    0.043	    0.031	   -2.680
    0.916	    0.002	   -0.117	    0.116	    0.083	    0.045	    0.032	   -2.660
    0.917	    0.002	   -0.025	   -0.128	    0.076	    0.043	    0.033	   -2.640
    0.917	    0.002	    0.147	   -0.075	    0.074	    0.042	    0.031	   -2.620
    0.917	    0.002	   -0.048	    0.140	    0.084	    0.044	    0.031	   -2.600
    0.917	    0.002	   -0.055	    0.034	    0.078	    0.042	    0.031	   -2.580
    0.918	    0.002	    0.137	   -0.156	    0.067	    0.043	    0.031	   -2.560
    0.918	    0.002	   -0.071	    0.179	    0.089	    0.045	    0.030	   -2.540
    0.919	    0.002	    0.107	   -0.104	    0.075	    0.043	    0.032	   -2.520
    0.918	    0.002	   -0.039	    0.075	    0.079	    0.043	    0.030	   -2.500
    0.919	    0.002	   -0.078	    0.026	    0.079	    0.041	    0.029	   -2.480
    0.918	    0.002	    0.138	   -0.146	    0.067	    0.041	    0.030	   -2.460
    0.917	    0.002	   -0.132	    0.154	    0.085	    0.045	    0.033	   -2.440
    0.917	    0.001	    0.076	   -0.138	    0.067	    0.043	    0.033	   -2.420
    0.917	    0.002	   -0.055	    0.083	    0.079	    0.043	    0.031	   -2.400
    0.918	    0.002	    0.031	   -0.026	    0.077	    0.043	    0.031	   -2.380
    0.918	    0.002	    0.154	   -0.055	    0.069	    0.042	    0.031	   -2.360
    0.918	    0.002	   -0.114	    0.151	    0.083	    0.043	    0.029	   -2.340
    0.919	    0.002	    0.051	   -0.140	    0.070	    0.041	    0.030	   -2.320
    0.918	    0.002	    0.001	    0.054	    0.077	    0.044	    0.031	   -2.300
    0.918	    0.002	   -0.088	    0.116	    0.080	    0.042	    0.031	   -2.280
    0.919	    0.002	    0.105	   -0.156	    0.070	    0.043	    0.031	   -2.260
    0.918	    0.002	   -0.081	    0.137	    0.083	    0.042	    0.029	   -2.240
    0.918	    0.002	    0.030	   -0.112	    0.070	    0.044	    0.032	   -2.220
    0.918	    0.002	    0.124	   -0.095	    0.071	    0.041	    0.028	   -2.200
    0.918	    0.002	   -0.107	    0.151	    0.085	    0.043	    0.030	   -2.180
    0.919	    0.002	   -0.179	   -0.156	    0.080	    0.045	    0.032	   -2.160
    0.919	    0.002	    0.204	   -0.108	    0.071	    0.042	    0.028	   -2.140
    0.920	    0.002	   -0.032	    0.150	    0.081	    0.040	    0.027	   -2.120
    0.920	    0.002	   -0.116	   -0.055	    0.078	    0.042	    0.031	   -2.100
    0.920	    0.002	    0.187	   -0.114	    0.070	    0.042	    0.030	   -2.080
    0.919	    0.002	    0.009	    0.184	    0.081	    0.041	    0.029	   -2.060
    0.920	    0.002	   -0.103	    0.009	    0.079	    0.042	    0.031	   -2.040
    0.919	    0.002	    0.205	   -0.111	    0.068	    0.043	    0.030	   -2.020
    0.920	    0.002	   -0.046	    0.173	    0.083	    0.043	    0.029	   -2.000
    0.921	    0.002	   -0.018	   -0.079	    0.078	    0.043	    0.031	   -1.980
    0.921	    0.002	    0.157	   -0.108	    0.069	    0.043	    0.031	   -1.960
    0.921	    0.002	   -0.101	    0.174	    0.080	    0.041	    0.030	   -1.940
    0.921	    0.002	    0.081	   -0.107	    0.070	    0.040	    0.031	   -1.920
    0.920	    0.002	    0.098	    0.006	    0.074	    0.043	    0.031	   -1.900
    0.919	    0.002	   -0.111	    0.161	    0.081	    0.042	    0.031	   -1.880
    0.919	    0.002	    0.077	   -0.169	    0.069	    0.042	    0.031	   -1.860
    0.920	    0.002	   -0.049	    0.101	    0.083	    0.044	    0.030	   -1.840
    0.920	    0.002	   -0.139	   -0.027	    0.080	    0.042	    0.031	   -1.820
    0.919	    0.002	    0.155	   -0.127	    0.068	    0.041	    0.029	   -1.800
    0.919	    0.002	   -0.026	    0.159	    0.081	    0.045	    0.031	   -1.780
    0.919	    0.002	    0.076	   -0.058	    0.076	    0.046	    0.033	   -1.760
    0.919	    0.002	    0.029	   -0.020	    0.076	    0.044	    0.031	   -1.740
    0.920	    0.002	   -0.101	    0.139	    0.088	    0.045	    0.030	   -1.720
    0.919	    0.002	    0.160	   -0.138	    0.073	    0.043	    0.031	   -1.700
    0.919	    0.002	   -0.045	    0.141	    0.081	    0.043	    0.030	   -1.680
    0.918	    0.002	    0.027	   -0.064	    0.074	    0.042	    0.030	   -1.660
    0.916	    0.001	    0.184	   -0.061	    0.072	    0.043	    0.031	   -1.640
    0.916	    0.002	   -0.106	    0.153	    0.083	    0.045	    0.031	   -1.620
    0.917	    0.002	    0.042	   -0.130	    0.072	    0.044	    0.031	   -1.600
    0.918	    0.002	   -0.017	    0.020	    0.077	    0.043	    0.030	   -1.580
    0.918	    0.002	   -0.128	    0.067	    0.083	    0.042	    0.031	   -1.560
    0.918	    0.002	    0.142	   -0.142	    0.069	    0.042	    0.030	   -1.540
    0.917	    0.002	   -0.039	    0.125	    0.084	    0.043	    0.030	   -1.520
    0.917	    0.002	   -0.097	   -0.057	    0.079	    0.043	    0.031	   -1.500
    0.916	    0.002	    0.159	   -0.117	    0.070	    0.042	    0.030	   -1.480
    0.916	    0.002	   -0.063	    0.174	    0.079	    0.042	    0.029	   -1.460
    0.917	    0.002	    0.107	   -0.061	    0.073	    0.043	    0.030	   -1.440
    0.916	    0.002	    0.010	    0.032	    0.080	    0.044	    0.031	   -1.420
    0.917	    0.002	    0.144	   -0.127	    0.071	    0.042	    0.030	   -1.400
    0.917	    0.002	   -0.083	    0.147	    0.083	    0.044	    0.031	   -1.380
    0.917	    0.002	    0.035	   -0.110	    0.071	    0.041	    0.030	   -1.360
    0.917	    0.002	    0.021	   -0.031	    0.072	    0.042	    0.031	   -1.340
    0.917	    0.002	   -0.114	    0.115	    0.084	    0.041	    0.028	   -1.320
    0.918	    0.001	    0.107	   -0.151	    0.067	    0.041	    0.030	   -1.300
    0.916	    0.003	   -0.026	    0.121	    0.079	    0.044	    0.030	   -1.280
    0.917	    0.002	   -0.117	   -0.009	    0.079	    0.041	    0.030	   -1.260
    0.917	    0.002	    0.106	   -0.072	    0.073	    0.043	    0.030	   -1.240
    0.916	    0.002	    0.089	   -0.005	    0.073	    0.044	    0.031	   -1.220
    0.918	    0.002	   -0.073	    0.170	    0.085	    0.041	    0.030	   -1.200
    0.917	    0.002	    0.086	   -0.132	    0.072	    0.042	    0.031	   -1.180
    0.917	    0.002	   -0.030	    0.077	    0.078	    0.045	    0.031	   -1.160
    0.917	    0.002	   -0.118	    0.116	    0.082	    0.042	    0.030	   -1.140
    0.917	    0.001	    0.093	   -0.122	    0.069	    0.040	    0.029	   -1.120
    0.917	    0.002	    0.031	    0.095	    0.078	    0.041	    0.028	   -1.100
    0.916	    0.002	   -0.112	    0.087	    0.080	    0.041	    0.029	   -1.080
    0.916	    0.002	    0.121	   -0.144	    0.067	    0.042	    0.030	   -1.060
    0.916	    0.002	   -0.012	    0.138	    0.082	    0.042	    0.029	   -1.040
    0.917	    0.002	   -0.013	   -0.023	    0.080	    0.043	    0.031	   -1.020
    0.917	    0.002	    0.175	   -0.083	    0.067	    0.042	    0.030	   -1.000
    0.917	    0.002	   -0.098	    0.175	    0.087	    0.042	    0.029	   -0.980
    0.916	    0.002	    0.069	   -0.130	    0.070	    0.041	    0.029	   -0.960
    0.916	    0.002	   -0.029	    0.074	    0.078	    0.043	    0.030	   -0.940
    0.915	    0.002	   -0.045	    0.022	    0.077	    0.042	    0.028	   -0.920
    0.915	    0.002	    0.148	   -0.118	    0.069	    0.041	    0.029	   -0.900
    0.915	    0.002	   -0.063	    0.190	    0.088	    0.043	    0.030	   -0.880
    0.915	    0.002	    0.084	   -0.091	    0.073	    0.042	    0.030	   -0.860
    0.915	    0.002	    0.021	    0.051	    0.077	    0.047	    0.032	   -0.840
    0.915	    0.002	   -0.067	    0.085	    0.084	    0.042	    0.031	   -0.820
    0.915	    0.002	    0.135	   -0.145	    0.067	    0.041	    0.030	   -0.800
    0.916	    0.002	   -0.018	    0.150	    0.081	    0.042	    0.028	   -0.780
    0.915	    0.002	   -0.003	   -0.038	    0.076	    0.042	    0.031	   -0.760
    0.915	    0.001	    0.155	   -0.099	    0.069	    0.042	    0.030	   -0.740
    0.916	    0.002	   -0.082	    0.182	    0.082	    0.045	    0.030	   -0.720
    0.915	    0.002	    0.072	   -0.092	    0.071	    0.039	    0.027	   -0.700
    0.915	    0.002	    0.147	    0.031	    0.072	    0.045	    0.031	   -0.680
    0.915	    0.002	   -0.126	    0.147	    0.083	    0.047	    0.033	   -0.660
    0.916	    0.002	    0.038	   -0.137	    0.070	    0.040	    0.029	   -0.640
    0.917	    0.002	    0.050	    0.026	    0.074	    0.042	    0.028	   -0.620
    0.917	    0.002	   -0.113	    0.132	    0.084	    0.043	    0.030	   -0.600
    0.917	    0.002	    0.064	   -0.158	    0.070	    0.042	    0.031	   -0.580
    0.916	    0.002	   -0.048	    0.083	    0.082	    0.042	    0.027	   -0.560
    0.916	    0.002	   -0.084	    0.025	    0.079	    0.042	    0.030	   -0.540
    0.916	    0.002	    0.128	   -0.151	    0.066	    0.042	    0.030	   -0.520
    0.916	    0.002	   -0.055	    0.147	    0.081	    0.041	    0.028	   -0.500
    0.916	    0.002	    0.002	   -0.068	    0.078	    0.042	    0.031	   -0.480
    0.916	    0.001	    0.163	   -0.064	    0.070	    0.042	    0.030	   -0.460
    0.916	    0.002	   -0.089	    0.160	    0.083	    0.040	    0.028	   -0.440
    0.916	    0.002	    0.037	   -0.094	    0.074	    0.042	    0.030	   -0.420
    0.916	    0.002	    0.127	   -0.047	    0.071	    0.046	    0.031	   -0.400
    0.915	    0.002	   -0.105	    0.167	    0.082	    0.044	    0.030	   -0.380
    0.916	    0.002	   -0.090	   -0.134	    0.074	    0.041	    0.029	   -0.360
    0.915	    0.002	    0.170	   -0.131	    0.067	    0.041	    0.029	   -0.340
    0.915	    0.002	   -0.033	    0.200	    0.079	    0.040	    0.028	   -0.320
    0.914	    0.002	    0.122	   -0.081	    0.070	    0.040	    0.029	   -0.300
    0.915	    0.002	   -0.016	    0.090	    0.078	    0.042	    0.028	   -0.280
    0.915	    0.001	   -0.107	    0.082	    0.078	    0.038	    0.029	   -0.260
    0.916	    0.002	    0.165	   -0.139	    0.066	    0.040	    0.029	   -0.240
    0.915	    0.002	   -0.068	    0.156	    0.082	    0.041	    0.028	   -0.220
    0.915	    0.002	    0.026	   -0.085	    0.070	    0.039	    0.029	   -0.200
    0.914	    0.002	    0.170	   -0.089	    0.067	    0.041	    0.029	   -0.180
    0.914	    0.002	   -0.102	    0.166	    0.081	    0.041	    0.029	   -0.160
    0.913	    0.001	    0.041	   -0.127	    0.073	    0.040	    0.030	   -0.140
    0.913	    0.002	    0.012	    0.053	    0.072	    0.041	    0.028	   -0.120
    0.912	    0.003	   -0.136	    0.094	    0.080	    0.038	    0.027	   -0.100
    0.912	    0.002	    0.127	   -0.158	    0.068	    0.041	    0.029	   -0.080
    0.912	    0.001	   -0.069	    0.121	    0.078	    0.040	    0.027	   -0.060
    0.913	    0.002	   -0.072	   -0.039	    0.073	    0.038	    0.027	   -0.040
    0.911	    0.001	    0.138	   -0.119	    0.066	    0.042	    0.029	   -0.020
